_id,q
ObjectId(565f09b422ED3e7a46baf4AE)," como você dizer ____Quarta-feira ______ em inglês?"
ObjectId(565f09b422ED3e7a46baf4af)," como você dizer _____ terça-feira Inglês?"
ObjectId(565f09b422ED3BAF46e7a4b0)," como você dizer _____ Quinta-feira _____ em inglês?"
ObjectId(565f09b422ED3BAF46e7a4b1)," como você dizer _____ Sexta-feira _____ em inglês?"
ObjectId(565f09b422ED3BAF46e7a4b2)," como você dizer _____ Sábado _____ em inglês?"
ObjectId(565f09b422ED3BAF46e7a4b3)," como você dizer _____ Domingo _____ em inglês?"
ObjectId(565f09b422ED3BAF46e7a4b4)," como você dizer _____ de Janeiro de _____ em inglês?"
ObjectId(565f09b422ED3BAF46e7a4b5)," como você dizer _____ de Julho _____ em inglês?"
ObjectId(565f09b422ED3BAF46e7a4b6)," como você dizer _____ de agosto _____ em inglês?"
ObjectId(565f09b422ED3BAF46e7a4b7)," como você dizer _____ de Outubro de _____ em inglês?"
ObjectId(565f09b422ED3BAF46e7a4b8)," como você dizer ________ de novembro em inglês?"
ObjectId(565f09b422ED3BAF46e7a4b9)," como você dizer ________ de dezembro em inglês?"
ObjectId(565f09b422ED3e7a46baf4ba)," como você dizer ________ de Abril em inglês?"
ObjectId(565f09b422ED3e7a46baf4BB)," como você dizer _____ Pode ______ em inglês?"
ObjectId(565f09b422ED3e7a46baf4bc)," como você dizer ________ de Junho de __ em inglês?"
ObjectId(565f09b422ED3e7a46baf4bd)," como você dizer _____ Feliz Aniversário _____ em inglês?"
ObjectId(565f09b422ED3e7a46baf4se)," como você dizer _____Estou _____ em inglês?"
ObjectId(565f09b422ED3e7a46baf4bf)," como você dizer _____ tenho __ em inglês?"
ObjectId(565f09b422ED3e7a46baf4c0)," como você dizer _____ telefone _____ em inglês?"
ObjectId(565f09b422ED3e7a46baf4c1)," como você dizer _____ boca _____ em inglês?"
ObjectId(565f09b422ED3e7a46baf4c2)," é a cor de café é de ________?"
ObjectId(565f09b422ED3e7a46baf4c3)," em inglês, preto é de ________?"
ObjectId(565f09b422ED3e7a46baf4c4)," em inglês, vermelho é de ________?"
ObjectId(565f09b422ED3e7a46baf4c5)," a cor verde é de ________?"
ObjectId(565f09b422ED3e7a46baf4c6),"  é a cor de laranja é ________?"
ObjectId(565f09b422ED3e7a46baf4c7),"  é a cor azul é de ________?"
