_id,q
ObjectId(565f09b422ED3e7a46BAF46a),"¿Como se dados hacia atrás?"
ObjectId(565f09b422ED3e7a46BAF46b),"¿Como se dados hacia derecha?"
ObjectId(565f09b422ED3e7a46BAF46c),"¿Como se dados hacia esquierda?"
ObjectId(565f09b422ED3e7a46BAF46d),"¿Como se dados hacia abajo?"
ObjectId(565f09b422ED3e7a46BAF46e),"¿Como se dados hacia el norte?"
ObjectId(565f09b422ED3e7a46BAF46f),"¿Como se dados hacia el sur?"
ObjectId(565f09b422ED3e7a46baf470),"¿Como se dados hacia el este?"
ObjectId(565f09b422ED3e7a46baf471),"¿Como se dados hacia el oeste?"
ObjectId(565f09b422ED3e7a46baf472),"qué es lo opuesto de caliente: ?"
ObjectId(565f09b422ED3e7a46baf473),"qué es lo opuesto de: Dirty ?"
ObjectId(565f09b422ED3e7a46baf474),"qué es lo opuesto de: Feliz ?"
ObjectId(565f09b422ED3e7a46baf475),"qué es lo opuesto de: Pequeño?"
ObjectId(565f09b422ED3e7a46baf476),"qué es lo opuesto de: dormido?"
ObjectId(565f09b422ED3e7a46baf477),"qué es lo opuesto de la: rápido ?"
ObjectId(565f09b422ED3e7a46baf478),"qué es lo opuesto de la: derecha ?"
ObjectId(565f09b422ED3e7a46baf479),"qué es lo opuesto de: boy ?"
ObjectId(565f09b422ED3e7a46BAF47a),"qué es lo opuesto de: Aquí ?"
ObjectId(565f09b422ED3e7a46BAF47b),"qué es lo opuesto de la superficial: ?"
ObjectId(565f09b422ED3e7a46BAF47c),"qué es lo opuesto de: Dulce ?"
ObjectId(565f09b422ED3e7a46BAF47d),"qué es lo opuesto: ?"
ObjectId(565f09b422ED3e7a46BAF47e),"qué es lo opuesto: Buena ?"
ObjectId(565f09b422ED3e7a46BAF47f),"qué es lo opuesto de: Empty ?"
ObjectId(565f09b422ED3e7a46baf480),"qué es lo opuesto de: Cerca de ?"
ObjectId(565f09b422ED3e7a46baf481),"qué es lo opuesto de la: ?"
ObjectId(565f09b422ED3e7a46baf482),"qué es lo opuesto de: Abierto ?"
ObjectId(565f09b422ED3e7a46baf483),"qué es lo opuesto de: Enfermos ?"
ObjectId(565f09b422ED3e7a46baf484),"¿Como se dados Vaca ?"
ObjectId(565f09b422ED3e7a46baf485),"¿Como se dados Cabalo ?"
ObjectId(565f09b422ED3e7a46baf486),"¿Como se dados Cabra ?"
ObjectId(565f09b422ED3e7a46baf487),"¿Como se dados Oveja ?"
ObjectId(565f09b422ED3e7a46baf488),"¿Como se dados Toro ?"
ObjectId(565f09b422ED3e7a46baf489),"¿Como se dados Terneiro ?"
ObjectId(565f09b422ED3e7a46BAF48a),"¿Como se dados Cerdo ?"
ObjectId(565f09b422ED3e7a46BAF48b),"¿Como se dados de Pollo o gallina ?"
ObjectId(565f09b422ED3e7a46BAF48c),"¿Como se pica el brazo en español?"
ObjectId(565f09b422ED3e7a46BAF48d),"¿Como se dados Cuerpo en español?"
ObjectId(565f09b422ED3e7a46BAF48e),"¿Como se dados pierna en español?"
ObjectId(565f09b422ED3e7a46BAF48f),"¿Como se dados dedo en español?"
ObjectId(565f09b422ED3e7a46baf490),"¿Como se dados dedo del pie en español?"
ObjectId(565f09b422ED3e7a46baf491),"¿Como se dados cabeza en español?"
ObjectId(565f09b422ED3e7a46baf492),"¿Como se dados hombro en español?"
ObjectId(565f09b422ED3e7a46baf493),"¿Como se dados espalda en español?"
ObjectId(565f09b422ED3e7a46baf494),"¿Como se dados ojo en español?"
ObjectId(565f09b422ED3e7a46baf495),"¿Como se dados oreja en español?"
ObjectId(565f09b422ED3e7a46baf496),"¿Como se dados nariz en ingles?"
ObjectId(565f09b422ED3e7a46baf497),"¿Como se dados boca en español?"
ObjectId(565f09b422ED3e7a46baf498),"Diga problema y solución de Mayagüez en ingles: 1+3=?"
ObjectId(565f09b422ED3e7a46baf499),"Diga problema y solución de Mayagüez en ingles: 7-3=?"
ObjectId(565f09b422ED3e7a46BAF49a),"Diga problema y solución de Mayagüez en ingles: 3+7=? ?"
ObjectId(565f09b422ED3e7a46BAF49b),"Diga problema y solución de Mayagüez en ingles: 2-1=? ?"
ObjectId(565f09b422ED3e7a46BAF49c),"Diga problema y solución de Mayagüez en ingles: 1+1=? ?"
ObjectId(565f09b422ED3e7a46BAF49d),"Diga problema y solución de Mayagüez en ingles: 4+5=? ?"
ObjectId(565f09b422ED3e7a46BAF49e),"Diga problema y solución de Mayagüez en ingles: 3+5=? ?"
ObjectId(565f09b422ED3e7a46BAF49f),"Qué tensa? El lápiz sobre la mesa. : Pasado, Presente, Futuro"
ObjectId(565f09b422ED3e7a46baf4a0),"Qué tensa? Comí mi sandwich: pasado, presente, futuro"
ObjectId(565f09b422ED3e7a46baf4a1),"Qué tensa?: Hemos tenido una fiesta de diversión! pasado, presente, futuro"
ObjectId(565f09b422ED3e7a46baf4a2),"Qué tensa?: lo haremos más tarde!  : pasado, presente, futuro "
ObjectId(565f09b422ED3e7a46baf4a3),"Qué tensa? Él está fuera. : pasado, presente, futuro "
ObjectId(565f09b422ED3e7a46baf4a4),"Llenar espacios en blanco: Jim _____ hambriento.(am, son) "
ObjectId(565f09b422ED3e7a46baf4a5),"Llenar en blanco(am es, son): Bill y Patty _____ perdido."
ObjectId(565f09b422ED3e7a46baf4a6),"Llenar en blanco (am, son): Nos ___ en casa."
ObjectId(565f09b422ED3e7a46baf4a7),"Llenar en blanco(am ejecutando, cantar, están comiendo): Billy ___ ."
ObjectId(565f09b422ED3e7a46baf4a8),"llenar el blanco: I ________(no voy a. b. c. se agradece pidiéndole)"
ObjectId(565f09b422ED3e7a46baf4a9),"rellenar espacios en blanco): ¿Cuáles son ______ llevar?(a él. b. c. Tim)"
ObjectId(565f09b422ED3e7a46baf4aa)," rellenar espacios en blanco: ¿Qué es _________ haciendo? (a. Jim b. c.) de su"
ObjectId(565f09b422ED3e7a46baf4ab),"llenar el blanco: Mi perro perdido _______________ collar.(a. Su b. Ella c. él)"
ObjectId(565f09b422ED3e7a46baf4ac),"rellenar espacios en blanco: los caballos pertenecen a _____________ .(a. Ella b. Él c. us)"
ObjectId(565f09b422ED3e7a46baf4ad),"¿Como se dados _____ lunes_____ en Inglés?"
ObjectId(565f09b422ED3e7a46baf4AE),"¿Como se dados ____miércoles ______ en Inglés?"
ObjectId(565f09b422ED3e7a46baf4af),"¿Como se dados ___ martes__ en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b0),"¿Como se dados _____ jueves _____ en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b1),"¿Como se dados _____ viernes _____ en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b2),"¿Como se dados _____ Sábado _____ en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b3),"¿Como se dados _____ domingo _____ en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b4),"¿Como se dados _____ enero _____ en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b5),"¿Como se dados _____ julio  _____ en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b6),"¿Como se dados _____ Agosto _____ en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b7),"¿Como se dados _____ Octubre _____ en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b8),"¿Como se dados ________ Noviembre en Inglés?"
ObjectId(565f09b422ED3BAF46e7a4b9),"¿Como se dados ________ Diciembre en Inglés?"
ObjectId(565f09b422ED3e7a46baf4ba),"¿Como se dados ________ Abril en Inglés?"
ObjectId(565f09b422ED3e7a46baf4bb),"¿Como se dados _____ Maio ______ en Inglês?"
ObjectId(565f09b422ED3e7a46baf4bc),"¿Como se dados ________ Junio __ en Inglés?"
ObjectId(565f09b422ED3e7a46baf4bd),"¿Como se dados _____ Feliz cumpleaños ___ en Inglés?"
ObjectId(565f09b422ED3e7a46baf4be),"¿Como se dados _____Yo soy ___ en Inglés?"
ObjectId(565f09b422ED3e7a46baf4bf),"¿Como se dados _____ tengo __ en Inglés?"
ObjectId(565f09b422ED3e7a46baf4c0),"¿Como se dados _____ teléfono ___ en Inglés?"
ObjectId(565f09b422ED3e7a46baf4c1),"¿Como se dados _____ boca ___ en Inglés?"
ObjectId(565f09b422ED3e7a46baf4c2),"¿El color de cafe es ________?"
ObjectId(565f09b422ED3e7a46baf4c3),"¿En Inglés, negro es ________?"
ObjectId(565f09b422ED3e7a46baf4c4),"¿En Inglés, rojo es ________?"
ObjectId(565f09b422ED3e7a46baf4c5),"¿El color de verde es ________?"
ObjectId(565f09b422ED3e7a46baf4c6),"¿El color de naranjada es ________?"
ObjectId(565f09b422ED3e7a46baf4c7),"¿El color de azul es ________?"
